#step	time	u[m]	load[N]	reaction[N]	Wint[J]	Wext[J]	Wkin[J]
186	7.440000e-03	-3.220000e-05	-6.100634e+04	6.099620e+04	9.821233e-01	9.821461e-01	1.979683e-05
187	7.480000e-03	-3.240000e-05	-6.137794e+04	6.138246e+04	9.943614e-01	9.943845e-01	2.004662e-05
188	7.520000e-03	-3.260000e-05	-6.175531e+04	6.176338e+04	1.006675e+00	1.006698e+00	1.944732e-05
189	7.560000e-03	-3.280000e-05	-6.214169e+04	6.213398e+04	1.019065e+00	1.019088e+00	1.943968e-05
190	7.600000e-03	-3.300000e-05	-6.251929e+04	6.251452e+04	1.031531e+00	1.031554e+00	2.002932e-05
191	7.640000e-03	-3.320000e-05	-6.289114e+04	6.290063e+04	1.044072e+00	1.044095e+00	1.980627e-05
192	7.680000e-03	-3.340000e-05	-6.327398e+04	6.327483e+04	1.056689e+00	1.056711e+00	1.930713e-05
193	7.720000e-03	-3.360000e-05	-6.365845e+04	6.364872e+04	1.069382e+00	1.069404e+00	1.973248e-05
194	7.760000e-03	-3.380000e-05	-6.403079e+04	6.403396e+04	1.082150e+00	1.082173e+00	2.006026e-05
195	7.800000e-03	-3.400000e-05	-6.440686e+04	6.441517e+04	1.094995e+00	1.095017e+00	1.948779e-05
196	7.840000e-03	-3.420000e-05	-6.479353e+04	6.478692e+04	1.107915e+00	1.107937e+00	1.941650e-05
197	7.880000e-03	-3.440000e-05	-6.517151e+04	6.516612e+04	1.120911e+00	1.120934e+00	2.000598e-05
198	7.920000e-03	-3.460000e-05	-6.554331e+04	6.555200e+04	1.133982e+00	1.134005e+00	1.982209e-05
199	7.960000e-03	-3.480000e-05	-6.592594e+04	6.592762e+04	1.147130e+00	1.147152e+00	1.933681e-05
200	8.000000e-03	-3.500000e-05	-6.630983e+04	6.630066e+04	1.160353e+00	1.160376e+00	1.970249e-05
201	8.040000e-03	-3.520000e-05	-6.668327e+04	6.668531e+04	1.173652e+00	1.173675e+00	2.003237e-05
202	8.080000e-03	-3.540000e-05	-6.705909e+04	6.706731e+04	1.187027e+00	1.187049e+00	1.954611e-05
203	8.120000e-03	-3.560000e-05	-6.744437e+04	6.743901e+04	1.200477e+00	1.200500e+00	1.940866e-05
